variable,importancia
Online boarding,0.12429261090133613
Inflight wifi service,0.108883975636478
Inflight entertainment,0.09009572533429078
Type of Travel,0.06047841279609203
Class,0.05657420066540391
Cleanliness,0.04902318063286921
Seat comfort,0.04696734057461267
Ease of Online booking,0.04441125324329187
Flight Distance,0.04148869748646354
Leg room service,0.040720483105317076
On-board service,0.039607180040002854
Inflight service,0.03773199244473108
Food and drink,0.03612306388766893
Departure/Arrival time convenient,0.03534377475088638
Age,0.03465255445445461
Baggage handling,0.034435926459585556
Checkin service,0.033377530720465655
Gate location,0.02627557269408491
Customer Type,0.02189791197290767
Arrival Delay in Minutes,0.01637294240040927
Departure Delay in Minutes,0.015374815548360184
Gender,0.005870854250287574
